Ticker symbol,Security,GICS Sector,GICS Sub Industry,start at yahoo
AXP,American Express Co,Financials,Consumer Finance,1972-06-01 00:00:00
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,1973-01-02 00:00:00
AMT,American Tower Corp A,Real Estate,Specialized REITs,1998-02-27 00:00:00
AWK,American Water Works Company Inc,Utilities,Water Utilities,2008-04-23 00:00:00
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-09-15 00:00:00
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,1995-04-04 00:00:00
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,1984-07-19 00:00:00
AMGN,Amgen Inc,Health Care,Biotechnology,1983-06-17 00:00:00
APH,Amphenol Corp,Information Technology,Electronic Components,1991-11-08 00:00:00
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,1986-09-08 00:00:00
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,1980-03-17 00:00:00
ANDV,Andeavor,Energy,Oil & Gas Refining & Marketing,1980-03-17 00:00:00
ANSS,ANSYS,Information Technology,Application Software,1996-06-20 00:00:00
ANTM,Anthem Inc.,Health Care,Managed Health Care,2001-10-30 00:00:00
AON,Aon plc,Financials,Insurance Brokers,1980-06-02 00:00:00
AOS,A.O. Smith Corp,Industrials,Building Products,1983-09-30 00:00:00
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,1979-05-15 00:00:00
AIV,Apartment Investment & Management,Real Estate,Residential REITs,1994-07-22 00:00:00
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1980-12-12 00:00:00
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,1980-03-17 00:00:00
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,1980-03-17 00:00:00
ARNC,Arconic Inc,Industrials,Aerospace & Defense,1962-01-02 00:00:00
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1984-06-20 00:00:00
AIZ,Assurant Inc,Financials,Multi-line Insurance,2004-02-05 00:00:00
T,AT&T Inc,Telecommunication Services,Integrated Telecommunication Services,1983-11-21 00:00:00
ADSK,Autodesk Inc,Information Technology,Application Software,1985-06-28 00:00:00
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,1980-03-17 00:00:00
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,1991-04-02 00:00:00
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,1994-03-11 00:00:00
AVY,Avery Dennison Corp,Materials,Paper Packaging,1980-03-17 00:00:00
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,1987-04-06 00:00:00
BLL,Ball Corp,Materials,Metal & Glass Containers,1980-03-17 00:00:00
BAC,Bank of America Corp,Financials,Diversified Banks,1980-03-17 00:00:00
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,1973-05-03 00:00:00
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment,1980-03-17 00:00:00
BAX,Baxter International Inc.,Health Care,Health Care Equipment,1981-10-27 00:00:00
BBT,BB&T Corporation,Financials,Regional Banks,1980-03-18 00:00:00
BDX,Becton Dickinson,Health Care,Health Care Equipment,1980-03-17 00:00:00
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,1996-05-09 00:00:00
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,1985-04-18 00:00:00
BIIB,Biogen Inc.,Health Care,Biotechnology,1991-09-17 00:00:00
BLK,BlackRock,Financials,Asset Management & Custody Banks,1999-10-01 00:00:00
HRB,Block H&R,Financials,Consumer Finance,1980-03-17 00:00:00
BA,Boeing Company,Industrials,Aerospace & Defense,1962-01-02 00:00:00
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,1993-08-13 00:00:00
BXP,Boston Properties,Real Estate,Office REITs,1997-06-18 00:00:00
BSX,Boston Scientific,Health Care,Health Care Equipment,1992-05-19 00:00:00
BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance,2007-09-11 00:00:00
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,1972-06-01 00:00:00
AVGO,Broadcom,Information Technology,Semiconductors,2009-08-06 00:00:00
BF-B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,1980-03-17 00:00:00
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,1997-10-16 00:00:00
CA,"CA, Inc.",Information Technology,Systems Software,1981-12-15 00:00:00
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,1990-02-08 00:00:00
CDNS,Cadence Design Systems,Information Technology,Application Software,1987-06-10 00:00:00
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,1980-03-17 00:00:00
COF,Capital One Financial,Financials,Consumer Finance,1994-11-16 00:00:00
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,1983-08-04 00:00:00
CBOE,CBOE Holdings,Financials,Financial Exchanges & Data,2010-06-15 00:00:00
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,1997-02-04 00:00:00
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1987-07-24 00:00:00
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1962-01-02 00:00:00
CBG,CBRE Group,Real Estate,Real Estate Services,2004-06-10 00:00:00
CBS,CBS Corp.,Consumer Discretionary,Broadcasting,2005-12-05 00:00:00
CELG,Celgene Corp.,Health Care,Biotechnology,1987-07-28 00:00:00
CNC,Centene Corporation,Health Care,Managed Health Care,2001-12-13 00:00:00
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1970-01-02 00:00:00
CTL,CenturyLink Inc,Telecommunication Services,Integrated Telecommunication Services,1980-03-17 00:00:00
CERN,Cerner,Health Care,Health Care Technology,1986-12-05 00:00:00
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,2005-08-11 00:00:00
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1987-09-22 00:00:00
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,2010-01-05 00:00:00
CHK,Chesapeake Energy,Energy,Oil & Gas Exploration & Production,1993-02-05 00:00:00
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,1970-01-02 00:00:00
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2006-01-26 00:00:00
CB,Chubb Limited,Financials,Property & Casualty Insurance,1984-09-07 00:00:00
